,Country,Year,Psychiatrists,Nurses,Social_workers,Psychologists
70,Panama,2016,4.031,3.452,9.221,7.331
71,Peru,2016,2.948,5.995,,9.507
72,Philippines,2016,0.518,,,0.885
73,Poland,2016,24.176,30.916,,16.346
74,Qatar,2016,2.712,9.933,0.115,1.413
75,Republic of Korea,2016,5.793,13.662,8.404,1.591
76,Romania,2016,5.665,18.71,0.503,1.479
77,Rwanda,2016,0.06,1.376,0.172,0.387
78,Saint Lucia,2016,0.564,50.788,0.564,
79,Samoa,2016,1.548,1.548,1.548,
80,Sao Tome and Principe,2016,0.511,4.602,0.511,3.068
81,Saudi Arabia,2016,1.321,10.66,3.955,2.034
82,Senegal,2016,0.2,0.267,0.067,0.02
83,Seychelles,2016,2.134,8.534,,3.2
84,Singapore,2016,4.191,,,
85,Slovenia,2016,11.953,36.727,1.976,9.302
86,South Africa,2016,1.521,,,
87,South Sudan,2016,0.025,0.017,,0.261
88,Suriname,2016,1.265,16.63,0.362,0.542
89,Sweden,2016,20.863,50.566,,
90,Syrian Arab Republic,2016,0.368,1.068,0.801,1.068
91,Tajikistan,2016,1.392,1.497,,
92,Thailand,2016,0.721,7.418,0.836,1.749
93,Timor-Leste,2016,0.081,1.37,1.612,0.081
94,Togo,2016,0.054,0.27,0.054,0.404
95,Tonga,2016,2.821,16.923,,1.88
96,Turkey,2016,1.637,150.251,1.643,2.537
97,Uganda,2016,0.082,2.242,0.037,0.037
98,Ukraine,2016,6.93,,,
99,United Arab Emirates,2016,1.649,4.37,0.36,0.765
100,United States of America,2016,10.542,4.283,60.338,29.864
101,Uruguay,2016,14.134,,,
102,Uzbekistan,2016,2.612,9.214,,0.09
103,Vanuatu,2016,0.378,4.535,0.378,0.756
104,Yemen,2016,0.201,0.323,0.056,0.409
105,Zambia,2016,0.056,1.429,0.019,0.031
106,Zimbabwe,2016,0.095,3.486,0.634,0.057
